"Take Method",Unit,Harvest,Hunters,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail
"Any Weapon",1,3489,7826,44.6,54936,2481,1008,47.2,18.5,95.4
Archery,1,142,638,22.3,4742,118,24,25.5,17.6,90.7
Muzzleloader,1,0,45,0,135,,,,,
"All Weapons Combined",1,3631,8000,45.4,59813,2599,1032,45.6,18.5,95.2
"Any Weapon",2,1414,4033,35.1,26897,946,469,0,27.9,99.7
Archery,2,43,420,10.2,2217,33,10,,0,96.8
Muzzleloader,2,0,15,0,100,,,,,
"All Weapons Combined",2,1457,4219,34.5,29214,978,479,0,27,99.6
"Any Weapon",3,1236,3919,31.5,21540,860,376,0,15.7,99.7
Archery,3,59,535,11.1,2876,48,12,,24,100
Muzzleloader,3,0,48,0,160,,,,,
"All Weapons Combined",3,1295,4151,31.2,24576,907,388,0,16.1,99.7
"Any Weapon",4,494,3315,14.9,18374,315,179,50.1,15.4,88.3
Archery,4,35,582,6,3793,20,15,0,42.6,90.3
Muzzleloader,4,111,634,17.5,2722,82,29,0,24.6,95.7
"All Weapons Combined",4,640,3863,16.6,24889,417,223,43.9,18.7,89.7
"Any Weapon",4A,134,706,18.9,3653,110,23,61.4,12.5,88.9
Archery,4A,6,61,9.3,328,,6,,,100
Muzzleloader,4A,1,14,10.4,42,1,,,0,100
"All Weapons Combined",4A,141,753,18.7,4023,112,29,61.4,12.3,89.5
"Any Weapon",5,1318,3486,37.8,24094,848,471,50,29.6,99.8
Archery,5,45,296,15.3,1879,28,18,,53.6,100
Muzzleloader,5,0,24,0,30,,,,,
"All Weapons Combined",5,1363,3603,37.8,26003,875,488,50,30.4,99.8
"Any Weapon",6,1178,3446,34.2,22444,789,389,18.3,20.2,93.4
Archery,6,19,252,7.7,1655,18,2,80.4,33.2,63.2
Muzzleloader,6,0,6,0,12,,,,,
"All Weapons Combined",6,1197,3553,33.7,24110,807,391,24.1,20.4,92.9
"Any Weapon",7,27,238,11.5,1313,17,10,48.5,50.7,46.4
Archery,7,0,57,0,374,,,,,
Muzzleloader,7,9,57,16.2,293,,9,,,100
"All Weapons Combined",7,36,302,12.1,1980,17,19,48.5,50.7,59.9
"Any Weapon",8,1120,2896,38.7,17598,818,302,62.8,26.7,93.3
Archery,8,4,134,2.6,1296,4,,,0,100
Muzzleloader,8,0,9,0,79,,,,,
"All Weapons Combined",8,1124,2949,38.1,18972,822,302,62.8,26.6,93.3
"Any Weapon",8A,1865,4944,37.7,33031,1219,645,28.7,25.8,98.8
Archery,8A,18,225,7.9,1605,12,6,,29.4,100
Muzzleloader,8A,34,220,15.4,926,,34,,,100
"All Weapons Combined",8A,1916,5086,37.7,35562,1231,684,28.7,25.8,98.8
"Any Weapon",9,8,61,12.9,365,5,3,,0,100
Archery,9,0,23,0,114,,,,,
Muzzleloader,9,0,1,0,7,,,,,
"All Weapons Combined",9,8,82,9.5,486,5,3,,0,100
"Any Weapon",10,118,598,19.7,3382,82,36,13.3,23.7,91.1
Archery,10,0,40,0,363,,,,,
Muzzleloader,10,0,5,0,8,,,,,
"All Weapons Combined",10,118,642,18.3,3753,82,36,13.3,23.7,91.1
"Any Weapon",10A,2231,5647,39.5,37797,1506,725,31.1,14.8,99.4
Archery,10A,26,291,9.1,2548,12,14,,87,89.9
Muzzleloader,10A,118,294,40.1,1470,,118,,,100
"All Weapons Combined",10A,2375,5869,40.5,41815,1518,857,31.1,15.4,99.3
"Any Weapon",11,769,1976,38.9,11499,547,222,,22,99.8
Archery,11,3,17,16.6,84,1,1,,100,100
Muzzleloader,11,0,6,0,39,,,,,
"All Weapons Combined",11,772,1995,38.7,11622,548,223,,22.2,99.8
"Any Weapon",11A,1173,2258,52,11751,898,276,,22.6,100
Archery,11A,13,74,18.2,390,13,,100,58.9,89.6
"All Weapons Combined",11A,1187,2301,51.6,12140,911,276,100,23.1,99.9
"Any Weapon",12,52,236,22.1,1219,45,7,,9.8,97.4
Archery,12,0,9,0,91,,,,,
Muzzleloader,12,0,1,0,7,,,,,
"All Weapons Combined",12,52,243,21.5,1317,45,7,,9.8,97.4
"Any Weapon",13,160,583,27.4,3511,100,60,,15.5,100
Archery,13,4,14,24.6,87,4,,,0,100
"All Weapons Combined",13,163,598,27.3,3598,103,60,,15,100
"Any Weapon",14,745,1860,40.1,9032,458,288,45.5,10.3,98.1
Archery,14,0,6,0,17,,,,,
Muzzleloader,14,0,3,0,3,,,,,
"All Weapons Combined",14,745,1866,39.9,9052,458,288,45.5,10.3,98.1
"Any Weapon",15,1194,2498,47.8,14153,822,372,67.3,15.1,99.3
Archery,15,103,342,30,2429,51,52,,33.3,100
Muzzleloader,15,0,3,0,26,,,,,
"All Weapons Combined",15,1296,2760,47,16608,873,424,67.3,16.2,99.3
"Any Weapon",16,506,1037,48.8,4689,333,172,0,14.2,97.3
Archery,16,0,11,0,24,,,,,
Muzzleloader,16,47,140,34,558,29,19,,24.7,100
"All Weapons Combined",16,553,1147,48.2,5271,362,191,0,15,97.5
"Any Weapon",16A,69,281,24.5,1419,48,21,80,3.4,87.9
Archery,16A,0,3,0,17,,,,,
Muzzleloader,16A,2,3,53.3,13,2,,,0,100
"All Weapons Combined",16A,70,285,24.7,1449,49,21,80,3.3,88.2
"Any Weapon",17,243,572,42.4,3207,170,73,77.3,29.5,57.5
Archery,17,0,2,0,11,,,,,
Muzzleloader,17,0,4,0,21,,,,,
"All Weapons Combined",17,243,577,42,3239,170,73,77.3,29.5,57.5
"Any Weapon",18,262,909,28.8,4296,151,111,42.4,11.8,95.9
Archery,18,0,3,0,24,,,,,
Muzzleloader,18,4,4,100,4,4,,,0,100
"All Weapons Combined",18,266,912,29.1,4324,154,111,42.4,11.5,96
"Any Weapon",19,204,597,34.3,3516,176,28,62,24.1,24.7
Archery,19,1,17,8.3,90,1,,,0,100
"All Weapons Combined",19,206,614,33.5,3606,178,28,62,23.2,25.2
"Any Weapon",19A,135,470,28.6,2392,113,22,51.6,0,28
Archery,19A,5,66,7.3,288,5,,29.1,,0
"All Weapons Combined",19A,139,529,26.3,2680,118,22,50.4,0,27.1
"Any Weapon",20,192,432,44.3,2192,138,54,61.4,16.1,60.1
Archery,20,1,8,16.5,28,1,,0,,0
"All Weapons Combined",20,193,441,43.7,2220,139,54,60.1,16.1,59.7
"Any Weapon",20A,39,196,20.1,1104,39,,72.8,12.4,29.4
Archery,20A,0,1,0,7,,,,,
Muzzleloader,20A,3,3,100,15,1,1,0,,50.4
"All Weapons Combined",20A,42,200,21.1,1126,41,1,69.3,12.4,30.8
"Any Weapon",21,227,695,32.7,3400,222,5,49.4,32.5,17.8
Archery,21,34,99,34.7,465,23,11,64.6,0,16.6
Muzzleloader,21,1,1,100,3,1,,,0,100
"All Weapons Combined",21,263,778,33.8,3867,247,16,50.7,27.5,18.1
"Any Weapon",21A,215,859,25,4430,199,16,29.7,18.4,30.8
Archery,21A,7,65,11,511,,7,,,22.1
Muzzleloader,21A,10,25,40.9,104,6,4,,21.9,100
"All Weapons Combined",21A,232,927,25,5044,206,26,29.7,18.8,33.6
"Any Weapon",22,378,1606,23.6,7065,226,153,5.3,0,12.9
Archery,22,84,378,22.1,3194,37,47,0,0,6.8
"All Weapons Combined",22,462,1919,24.1,10258,263,199,4.6,0,11.8
"Any Weapon",23,416,1777,23.4,9290,374,42,25.2,17.4,41.2
Archery,23,35,285,12.3,2833,17,18,75.4,,16.2
Muzzleloader,23,2,8,18.8,40,2,,,100,100
"All Weapons Combined",23,453,1984,22.8,12163,393,60,28.8,18.2,39.4
"Any Weapon",24,231,1776,13,9089,167,64,50.5,9.4,46.4
Archery,24,91,540,16.9,4002,24,67,25,100,9.2
Muzzleloader,24,5,41,11.1,169,5,,,31.2,100
"All Weapons Combined",24,327,2228,14.7,13260,196,131,45.5,12.1,36.7
"Any Weapon",25,106,834,12.8,4262,86,20,50,,0
Archery,25,34,225,15.3,1721,9,25,37.2,,0
Muzzleloader,25,0,1,0,14,,,,,
"All Weapons Combined",25,141,1024,13.7,5997,95,46,48.8,,0
"Any Weapon",26,28,195,14.3,1076,28,,85.1,,0
Archery,26,0,6,0,23,,,,,
"All Weapons Combined",26,28,200,13.9,1099,28,,85.1,,0
"Any Weapon",27,278,1023,27.2,6103,273,5,45.9,,0
Archery,27,0,10,0,49,,,,,
Muzzleloader,27,0,1,0,7,,,,,
"All Weapons Combined",27,278,1026,27.1,6159,273,5,45.9,,0
"Any Weapon",28,444,1538,28.9,8056,420,24,40.8,25.7,13.3
Archery,28,44,215,20.5,747,14,30,60.9,,12.9
Muzzleloader,28,0,7,0,54,,,,,
"All Weapons Combined",28,488,1727,28.3,8857,434,54,41.5,25.7,13.3
"Any Weapon",29,296,931,31.8,3638,278,18,28.7,25.9,32.3
Archery,29,46,197,23.2,1486,32,13,50.2,0,3
Muzzleloader,29,11,38,29.6,129,10,1,,28.6,100
"All Weapons Combined",29,353,1144,30.8,5253,320,33,31.6,25.8,30.7
"Any Weapon",30,377,1019,37,4383,350,27,24.1,17.6,24.1
Archery,30,13,113,11.6,742,7,6,0,,25.8
Muzzleloader,30,3,27,11.3,116,2,1,,100,100
"All Weapons Combined",30,393,1133,34.7,5240,359,34,23.6,19.3,24.8
"Any Weapon",30A,14,49,29.5,172,5,10,100,100,34.5
Archery,30A,4,71,5.9,565,3,1,50,,0
Muzzleloader,30A,0,7,0,112,,,,,
"All Weapons Combined",30A,19,126,14.8,849,8,11,66.7,100,26.8
"Any Weapon",31,191,1025,18.6,3718,162,28,17.8,,0.7
Archery,31,41,223,18.6,1367,30,11,61.8,,0
"All Weapons Combined",31,232,1200,19.4,5085,192,40,24.7,,0.6
"Any Weapon",32,652,2446,26.7,8840,531,121,24.4,0,2.1
Archery,32,8,170,4.9,875,,8,,,0
"All Weapons Combined",32,660,2538,26,9716,531,129,24.4,0,2
"Any Weapon",32A,409,3183,12.9,14285,280,129,13.8,0,11.2
Archery,32A,74,494,15.1,3239,36,39,0,,7.7
Muzzleloader,32A,0,3,0,24,,,,,
"All Weapons Combined",32A,484,3538,13.7,17548,316,168,12.1,0,10.7
"Any Weapon",33,229,1109,20.6,5363,202,27,21.7,29.9,12.7
Archery,33,29,134,21.7,836,3,26,0,,0
"All Weapons Combined",33,258,1200,21.5,6199,204,54,21.4,29.9,11.3
"Any Weapon",34,19,259,7.4,1310,19,,40.1,100,7.3
Archery,34,1,65,2.2,575,,1,,,0
"All Weapons Combined",34,20,315,6.5,1885,19,1,40.1,100,6.8
"Any Weapon",35,79,476,16.7,2092,79,,66.1,,0
Archery,35,0,12,0,72,,,,,
"All Weapons Combined",35,79,486,16.3,2164,79,,66.1,,0
"Any Weapon",36,166,998,16.6,4793,165,1,56.7,,0
Archery,36,32,176,18.2,1398,23,9,30.4,,0
Muzzleloader,36,0,4,0,42,,,,,
"All Weapons Combined",36,198,1142,17.3,6234,188,10,53.5,,0
"Any Weapon",36A,91,468,19.5,1833,88,3,53.2,52.4,3.3
Archery,36A,7,140,4.9,876,,7,,,20
Muzzleloader,36A,0,4,0,7,,,,,
"All Weapons Combined",36A,98,598,16.4,2716,88,10,53.2,52.4,4.5
"Any Weapon",36B,244,1143,21.4,6121,242,3,46.9,17.4,14.5
Archery,36B,14,100,14.1,662,9,5,,0,65.9
Muzzleloader,36B,4,9,38,31,4,,,100,100
"All Weapons Combined",36B,262,1224,21.4,6814,254,8,46.9,20.3,18.4
"Any Weapon",37,88,350,25,1233,81,6,27.3,18.3,46.3
Archery,37,26,42,61.4,240,16,10,100,0,45.5
Muzzleloader,37,8,19,40.7,66,6,1,,100,100
"All Weapons Combined",37,122,405,30,1539,104,18,35.1,25,49.7
"Any Weapon",37A,43,301,14.3,1458,43,,24.8,0,7.8
Archery,37A,18,96,18.2,620,6,12,0,,51.7
Muzzleloader,37A,2,22,7.1,172,,2,,,100
"All Weapons Combined",37A,62,412,15.1,2250,49,13,21.7,0,22.6
"Any Weapon",38,198,819,24.2,3081,101,97,25.4,,0
Archery,38,17,48,35.6,225,11,6,0,,0
Muzzleloader,38,7,23,30.6,55,6,1,0,,0
"All Weapons Combined",38,222,879,25.2,3361,118,104,21.7,,0
"Any Weapon",39,2973,12093,24.6,50513,2488,486,27,0,1.2
Archery,39,152,1936,7.9,8009,58,94,61,,0
Muzzleloader,39,126,461,27.3,2439,,126,,,4.5
"All Weapons Combined",39,3251,13661,23.8,60961,2545,706,27.8,0,1.3
"Any Weapon",40,783,2579,30.4,7876,780,3,0.9,0,0.2
Archery,40,91,334,27.2,1570,33,57,0,,0
Muzzleloader,40,0,3,0,7,,,,,
"All Weapons Combined",40,874,2841,30.7,9453,813,61,0.9,0,0.2
"Any Weapon",41,146,592,24.6,1884,146,,0,0,4.6
Archery,41,3,44,6.1,140,1,1,,0,49.1
"All Weapons Combined",41,148,622,23.9,2024,147,1,0,0,5.5
"Any Weapon",42,57,307,18.7,1021,57,,2.4,,0
Archery,42,0,40,0,298,,,,,
"All Weapons Combined",42,57,341,16.8,1319,57,,2.4,,0
"Any Weapon",43,1130,3622,31.2,13457,958,172,38.4,,0
Archery,43,160,646,24.8,4663,98,62,18.8,,0
Muzzleloader,43,6,15,38.5,49,,6,,,0
"All Weapons Combined",43,1296,4117,31.5,18169,1056,239,36.5,,0
"Any Weapon",44,29,135,21.4,285,26,3,50,,0
Archery,44,7,53,13.5,124,6,1,,0,80.4
"All Weapons Combined",44,36,182,19.8,409,31,5,50,0,15.8
"Any Weapon",45,27,110,24.3,466,11,16,0,,0
Archery,45,0,1,0,10,,,,,
Muzzleloader,45,9,13,73,30,,9,,,38.2
"All Weapons Combined",45,36,121,29.7,506,11,25,0,,9.8
"Any Weapon",46,511,1664,30.7,6226,402,110,37.3,37.2,3.1
Archery,46,9,68,13.5,454,3,6,0,,0
Muzzleloader,46,3,3,100,7,,3,,,0
"All Weapons Combined",46,524,1694,30.9,6687,405,119,37,37.2,3
"Any Weapon",47,0,54,0,191,,,,,
Archery,47,3,112,2.4,462,3,,50,,0
"All Weapons Combined",47,3,166,1.6,654,3,,50,,0
"Any Weapon",48,471,1960,24,8101,464,7,39.8,,0
Archery,48,25,272,9.3,1734,8,17,80.6,100,5.5
"All Weapons Combined",48,496,2085,23.8,9836,472,24,40.4,100,0.3
"Any Weapon",49,600,2402,25,9028,587,12,27,0,1.9
Archery,49,30,247,12.1,1674,17,13,66.7,,0
Muzzleloader,49,0,9,0,9,,,,,
"All Weapons Combined",49,630,2578,24.4,10710,604,25,28.2,0,1.8
"Any Weapon",50,452,1777,25.5,6412,383,70,43.9,83.7,2.2
Archery,50,40,301,13.2,2070,23,17,74.8,,0
Muzzleloader,50,0,9,0,52,,,,,
"All Weapons Combined",50,492,2017,24.4,8534,405,87,45.7,83.7,2
"Any Weapon",51,213,897,23.7,3177,172,41,19,35.1,7.9
Archery,51,12,157,7.6,1507,4,8,,100,29.4
"All Weapons Combined",51,225,995,22.6,4684,176,49,19,48.6,9.1
"Any Weapon",52,7,91,7.4,322,3,3,0,,0
"All Weapons Combined",52,7,91,7.4,322,3,3,0,,0
"Any Weapon",52A,158,1152,13.7,4755,128,30,41.3,0,5.1
Archery,52A,0,54,0,333,,,,,
"All Weapons Combined",52A,158,1175,13.5,5088,128,30,41.3,0,5.1
"Any Weapon",53,169,457,37.1,1867,78,91,22.4,,0
Archery,53,6,18,32.4,72,,6,,,0
Muzzleloader,53,23,38,60.6,106,6,17,0,,25
"All Weapons Combined",53,198,506,39.1,2045,84,114,20.9,,2.9
"Any Weapon",54,14,51,27.5,155,10,4,32.3,,25.2
Archery,54,0,16,0,71,,,,,
"All Weapons Combined",54,14,67,20.9,226,10,4,32.3,,25.2
"Any Weapon",55,0,65,0,215,,,,,
Archery,55,61,694,8.8,3230,40,21,71.9,,0
"All Weapons Combined",55,61,759,8,3444,40,21,71.9,,0
"Any Weapon",56,532,2011,26.5,7225,529,3,23.3,0,1.1
Archery,56,27,178,15,1233,15,12,38.6,,0
"All Weapons Combined",56,559,2111,26.5,8458,544,15,23.7,0,1
"Any Weapon",57,14,79,17.9,310,14,,0,0,40.3
Archery,57,8,69,10.8,384,8,,81.6,,0
"All Weapons Combined",57,22,145,15,694,22,,38.5,0,26.3
"Any Weapon",58,119,523,22.8,1736,94,25,36.5,,1.2
Archery,58,0,55,0,347,,,,,
"All Weapons Combined",58,119,547,21.8,2082,94,25,36.5,,1.2
"Any Weapon",59,302,1052,28.7,3251,195,106,34.1,0,4.6
Archery,59,12,310,4,2806,11,1,74.7,,0
Muzzleloader,59,0,13,0,38,,,,,
"All Weapons Combined",59,314,1239,25.3,6095,206,108,36.4,0,4.4
"Any Weapon",59A,102,405,25,1371,68,34,16.9,,0
Archery,59A,23,108,21.1,898,11,11,50,,0
"All Weapons Combined",59A,124,466,26.7,2269,79,45,21.6,,0
"Any Weapon",60,180,794,22.7,2999,135,45,33.8,26.1,28.8
Archery,60,20,235,8.7,1988,3,17,0,,0
"All Weapons Combined",60,201,936,21.5,4987,139,62,32.7,26.1,25.9
"Any Weapon",60A,388,1381,28.1,5407,287,100,19.6,5.5,8.3
Archery,60A,29,203,14.4,1577,21,8,0,53.2,83.7
"All Weapons Combined",60A,417,1498,27.8,6984,308,109,19.3,23.3,13.6
"Any Weapon",61,188,1058,17.8,4043,140,48,25.3,0,9.3
Archery,61,73,410,17.9,3244,33,40,4.2,,9.2
Muzzleloader,61,0,10,0,46,,,,,
"All Weapons Combined",61,261,1315,19.9,7333,173,88,21.1,0,9.3
"Any Weapon",62,128,558,22.9,2219,84,44,18,0,26.1
Archery,62,18,78,23.4,405,17,1,0,34.7,53.4
"All Weapons Combined",62,146,620,23.6,2624,100,45,16.2,11.5,29.5
"Any Weapon",62A,53,381,14,1644,36,17,0,0,39.5
Archery,62A,6,78,7.3,678,,6,,,0
"All Weapons Combined",62A,59,435,13.5,2322,36,23,0,0,35.7
"Any Weapon",63,72,231,31.1,840,51,20,64.2,18.1,27.2
Archery,63,31,154,20.2,592,28,4,52.8,0,22.6
Muzzleloader,63,0,5,0,11,,,,,
"All Weapons Combined",63,103,366,28.2,1443,79,24,59.3,15.3,25.8
"Any Weapon",63A,84,418,20.2,1824,31,53,0,0,93.2
Archery,63A,138,371,37.2,3789,120,18,,46.8,100
Muzzleloader,63A,16,21,77.6,44,13,4,100,0,65
"All Weapons Combined",63A,238,738,32.3,5656,164,75,50,36.8,95.2
"Any Weapon",64,66,462,14.3,1693,49,17,25.9,0,23.5
Archery,64,8,55,14,413,8,,0,0,55.9
Muzzleloader,64,0,3,0,20,,,,,
"All Weapons Combined",64,74,515,14.4,2126,57,17,23.9,0,26.9
"Any Weapon",65,51,273,18.6,1189,39,12,35.8,51.1,30.6
Archery,65,21,68,30.4,650,17,4,100,55.6,72.5
"All Weapons Combined",65,72,301,23.8,1839,56,16,45.5,53.9,42.7
"Any Weapon",66,97,991,9.8,4125,84,14,53.3,0,5.2
Archery,66,1,196,0.7,1437,1,,0,,0
"All Weapons Combined",66,99,1109,8.9,5562,85,14,52.4,0,5.2
"Any Weapon",66A,90,717,12.6,3006,87,3,47.4,100,1.5
Archery,66A,8,137,6.2,1216,1,7,0,,0
Muzzleloader,66A,0,1,0,8,,,,,
"All Weapons Combined",66A,99,822,12,4230,88,10,46.6,100,1.4
"Any Weapon",67,125,804,15.6,3148,97,28,66.1,5.8,36.5
Archery,67,9,124,7.4,642,6,4,,100,100
"All Weapons Combined",67,134,903,14.9,3789,103,31,66.1,23.5,40.9
"Any Weapon",68,82,542,15,2041,82,,16.9,0,7
Archery,68,6,52,10.9,339,,6,,,0
"All Weapons Combined",68,87,572,15.3,2379,82,6,16.9,0,6.5
"Any Weapon",68A,6,35,16.1,90,6,,0,,0
Archery,68A,0,1,0,27,,,,,
"All Weapons Combined",68A,6,37,15.6,116,6,,0,,0
"Any Weapon",69,434,2448,17.7,9362,319,115,26.9,45.1,6.8
Archery,69,24,253,9.6,1856,18,6,10.8,0,23.6
Muzzleloader,69,0,2,0,6,,,,,
"All Weapons Combined",69,459,2584,17.7,11224,338,121,26.2,33.3,7.7
"Any Weapon",70,9,122,7.5,440,9,,0,,0
Archery,70,0,13,0,83,,,,,
"All Weapons Combined",70,9,123,7.4,522,9,,0,,0
"Any Weapon",71,211,1046,20.2,4218,211,,32.2,,0
Archery,71,17,110,15.6,731,11,6,0,,0
"All Weapons Combined",71,228,1108,20.6,4950,223,6,30.5,,0
"Any Weapon",72,178,923,19.3,3928,178,,38.9,100,1.9
Archery,72,0,108,0,805,,,,,
"All Weapons Combined",72,178,967,18.5,4732,178,,38.9,100,1.9
"Any Weapon",73,43,229,19,912,43,,32.7,,0
Archery,73,44,177,24.8,1176,24,20,88.6,,0
"All Weapons Combined",73,87,406,21.5,2088,67,20,52.5,,0
"Any Weapon",73A,254,1263,20.1,4808,254,,25.7,0,0.6
Archery,73A,25,157,16.1,982,14,11,10,,0
"All Weapons Combined",73A,279,1327,21,5790,268,11,24.8,0,0.6
"Any Weapon",74,343,1099,31.2,4100,343,,39.7,0,1.7
Archery,74,7,146,4.9,1080,7,,19.6,,0
"All Weapons Combined",74,350,1132,30.9,5180,350,,39.3,0,1.6
"Any Weapon",75,234,966,24.3,4060,234,,41.7,,0
Archery,75,13,130,9.9,1227,6,7,100,,0
"All Weapons Combined",75,247,1041,23.8,5288,240,7,43.1,,0
"Any Weapon",76,821,3032,27.1,13498,820,1,33.8,0,0.9
Archery,76,118,520,22.7,4934,79,39,50.2,,0
"All Weapons Combined",76,939,3338,28.1,18432,899,40,35.2,0,0.8
"Any Weapon",77,198,858,23,3718,196,1,42.8,,0
Archery,77,8,154,5.3,1132,8,,0,,0
"All Weapons Combined",77,206,903,22.8,4850,204,1,41.1,,0
"Any Weapon",78,15,100,15.1,337,15,,68.7,,0
Archery,78,35,238,14.6,1427,28,7,49.4,,0
"All Weapons Combined",78,50,332,15,1764,43,7,56.3,,0
